x,y,type
0.934186837367474,0.628125625125025,immune
0.934186837367474,0.679335867173435,immune
0.934586917383477,0.604320864172835,immune
0.934586917383477,0.612922584516903,immune
0.935787157431486,0.696739347869574,immune
0.93618723744749,0.623124624924985,immune
0.93618723744749,0.642128425685137,immune
0.936387277455491,0.633326665333067,immune
0.936787357471494,0.6625325065013,immune
0.937387477495499,0.618323664732947,immune
0.554310862172435,0.0646129225845169,tumor
0.937587517503501,0.677135427085417,immune
0.937787557511502,0.653130626125225,immune
0.93878775755151,0.668933786757351,immune
0.938987797559512,0.657131426285257,immune
0.938987797559512,0.684336867373475,immune
0.939187837567513,0.646129225845169,immune
0.939587917583517,0.600720144028806,immune
0.939587917583517,0.697939587917583,immune
0.940388077615523,0.611922384476895,immune
0.940388077615523,0.634726945389078,immune
0.555511102220444,0.0152030406081216,tumor
0.940388077615523,0.640928185637127,immune
0.940988197639528,0.606921384276855,immune
0.940988197639528,0.620524104820964,immune
0.941388277655531,0.625125025005001,immune
0.941388277655531,0.688537707541508,immune
0.942388477695539,0.668133626725345,immune
0.942588517703541,0.629325865173035,immune
0.942788557711542,0.649329865973195,immune
0.943188637727545,0.616523304660932,immune
0.943188637727545,0.678135627125425,immune
0.555911182236447,0.0978195639127826,tumor
0.943588717743549,0.645329065813163,immune
0.944388877775555,0.662932586517303,immune
0.944588917783557,0.681536307261452,immune
0.944788957791558,0.604320864172835,immune
0.945589117823565,0.622924584916983,immune
0.945589117823565,0.650930186037207,immune
0.94618923784757,0.611522304460892,immune
0.94618923784757,0.634526905381076,immune
0.94618923784757,0.640728145629126,immune
0.94618923784757,0.671334266853371,immune
0.556111222244449,0.001000200040008,tumor
0.946589317863573,0.627925585117023,immune
0.946789357871574,0.667733546709342,immune
0.946989397879576,0.600720144028806,immune
0.946989397879576,0.618323664732947,immune
0.946989397879576,0.690138027605521,immune
0.947789557911582,0.645129025805161,immune
0.947789557911582,0.660932186437287,immune
0.948389677935587,0.69753950790158,immune
0.949189837967593,0.656731346269254,immune
0.949389877975595,0.679135827165433,immune
0.556311262252451,0.0390078015603121,stromal
